"","spleenCFU","spleenCEQ","lungCFU","lungCEQ","Eotaxin","GCSF","IFNy","IL1a","IL1B","IL2","IL6","IL9","IL10","IL17","IP10","KC","LIF","LIX","MCP1","MCSF","MIG","MIP1a","MIP1b","MIP2","RANTES","TNFa","VEGF"
"CC034cs",5.71066666666667,7.09633333333333,5.72233333333333,6.03833333333333,1.01257041691635,0.0597341255906815,1.76180302085846,2.28046236619582,2.02614858015243,1.18406017221689,1.06788741313945,2.1396338161751,0.702179465946469,0.0784313555503017,1.71528350045667,2.2104767417586,0.484107585721034,2.63753637783131,1.71726093582712,0.474104045815366,2.78154612565229,1.3480266701473,1.56959579862992,1.95765937309409,2.04508323116654,1.03066214151359,0.371907305460831
"CC035cs",5.9375,6.69866666666667,6.39,6.43333333333333,0.934452779765266,0.393033055098761,1.59130452068809,1.90822330942353,0.743096844964511,0.987649392133189,0.389121534107843,2.22305142838544,0.23664939529745,-0.0821083455520083,1.82473679567067,2.09236284386944,0.167650411557988,2.49390541170396,1.5333105061012,0.403563613985953,2.71309372229993,1.78916031434243,1.89992766847474,1.88898068306772,1.76113472780774,0.64968486401833,0.330180847841863
"CC037cs",6.7025,7.1765,8.192,7.906,0.975586645700497,2.32669794122198,1.69128780380364,2.86677970559973,2.41866801990634,0.856181722138274,2.1762047829061,2.0041135231166,0.538156343988429,0.141887989355761,1.89351715132851,2.82398566253166,1.06845536374069,2.59400859149613,2.32105512435025,1.24953987267861,2.88932570858057,2.80799823594529,2.60499669105612,2.97079053199291,1.4699644717271,1.41558967176754,0.867351921150521
"CC038cs",8.015,8.263714397,7.389,8.261,1.47348697006457,3.95256821756161,0.539076098792777,2.2146849307506,1.45224657452044,0.741151598851785,2.56847160703324,1.78540102499239,1.50297305906563,-0.0705810742857073,1.61066016308988,3.14513422636149,1.35237549500052,2.74810271078199,2.91583233117976,1.03981055414835,2.29669226804746,3.53191171845905,3.19362819921443,4.06294468483107,0.69284691927723,1.65657729139611,0.82020145948564
"CC039cs",6.27,7.091,6.255,7.1785,0.705986528842662,1.37377239753192,0.914602017249059,2.1748456108776,1.5299667069703,0.912311175807063,0.761044674756352,1.20923938371196,0.167498140121613,0.730008168896053,1.74755399620288,2.53442201172157,0.67518604237446,2.75383529172985,1.64398479741773,0.473405376930384,2.95328956516195,2.01738577486151,1.73465241205069,2.62565399768075,0.39795215068879,1.20985927781979,0.284276856024721
"CC040cs",6.835,7.1665,7.447,9.2695,1.51881641920136,3.44685027253119,1.34396592831321,3.52908616694091,2.64307093703959,0.440412510466285,2.93103220905591,1.23456329415826,0.943369411284817,2.19983977821047,2.33560247576986,3.39355520547937,1.94165569450891,2.88175205924442,2.85344159217738,1.66964970084473,3.20896957579081,3.39791074100867,3.63359064225331,4.04694717263828,1.83084093327861,2.33401711346318,1.59020115642342
"CC041cs",6.905,7.29966666666667,8.02933333333333,8.77833333333333,1.35952916817767,3.06700642908783,1.74298121805575,3.40821596188654,3.05621504635993,0.99072398690105,2.54451367582514,1.86892616458996,0.886826039816625,1.8407827022159,2.27349366132689,3.25418863411733,1.46027480641304,2.78744139972121,2.31063938343377,1.71254916143726,3.164841999706,3.14436159099617,3.27638369996141,3.9268711187399,1.44040887939547,2.1641688850841,1.23438709268753
"CC042cs",8.309624,8.274,8.4545,9.674795,1.53519058732629,3.94808774620267,0.496360481791511,3.49304178134809,2.81128068312849,0.801359808875639,3.03394505121758,1.95304295150566,1.24603975371329,1.12886615924254,1.84056682284354,3.6342598332451,2.14430804723829,2.92599529108407,2.83093043540864,1.99530803321567,2.37085804172101,3.72422935083674,3.45135164420416,4.14615585776858,0.795969498311935,2.18858419949442,1.56338584496958
"CC043cs",6.77,6.361,6.123,6.1895,1.03226175142468,0.782415851790146,1.57062844250386,1.71285316957726,1.61964514625622,0.539110559267669,0.733892817164609,1.7254843660998,-0.368300334332999,0.409079943198593,2.1570834196075,2.34033882309333,0.395915473837418,2.5258304005541,1.88157667887714,0.39507218252145,2.82132415479756,1.45408020495824,1.63985996374015,1.81874486475626,1.71171683898961,0.751483801535266,0.527065118425396
"CC044cs",6.73433333333333,7.08933333333333,6.963,7.00133333333333,1.41091869203421,-0.0107861453056629,1.46562489503837,1.95608747115134,1.81802575352677,1.04817671776089,0.726714139208311,2.25234931460206,0.012395258771732,0.113917783934783,2.09379477508767,2.2229672002329,0.213263064860657,2.55150762645503,1.68476451273402,0.0663479771562026,2.85330106886474,1.78176160868066,1.89912907828376,1.83557330071254,1.04970338011722,0.875813984629239,0.467533774485261
